,congress,chamber,committee,committee_short,year,date,title,hearing_id,type,last_name,matched_speaker,utterance,text,witness,witness_affiliation,witness_opensectrets_industry,witness_opensectrets_sector,witness_category,witness_subcategory,witness_state_research,witness_contrarian_organisation,witness_contrarian,witness_denialist,MoC_bioguide_id,MoC_govtrack_id,MoC_id,MoC_name,MoC_maj_min,MoC_rank_within_party,MoC_party_code,MoC_date_of_assignment,MoC_date_of_termination,MoC_senior_party_member,MoC_committee_seniority,MoC_committee_period_of_service,MoC_committee_status_at_end_of_this_congress,MoC_committee_continuity_of_assignment_in_next_congress,MoC_appointment_citation,MoC_state_icpsr,MoC_cd_code,MoC_stab,MoC_notes,MoC_Party,MoC_CID,MoC_last_name,MoC_first_name,MoC_birthday,MoC_gender,word_count,id,DataRow Workflow Info_taskId,batch,C0,L1dummy_1,L1dummy_2,L1dummy_3,L1dummy_4,L1dummy_5,L2dummy_1_1,L2dummy_1_2,L2dummy_1_3,L2dummy_1_4,L2dummy_1_5,L2dummy_1_6,L2dummy_1_7,L2dummy_1_8,L2dummy_2_1,L2dummy_2_2,L2dummy_2_3,L2dummy_2_4,L2dummy_2_5,L2dummy_3_1,L2dummy_3_2,L2dummy_3_3,L2dummy_3_4,L2dummy_3_5,L2dummy_3_6,L2dummy_3_7,L2dummy_3_8,L2dummy_4_1,L2dummy_4_2,L2dummy_4_3,L2dummy_4_4,L2dummy_4_5,L2dummy_4_6,L2dummy_4_7,L2dummy_5_1,L2dummy_5_2,L2dummy_5_3,L3dummy_1_1_1,L3dummy_1_1_2,L3dummy_1_1_3,L3dummy_1_1_4,L3dummy_2_1_1,L3dummy_2_1_2,L3dummy_2_1_3,L3dummy_2_1_4,L3dummy_2_1_5,L3dummy_2_1_6,L3dummy_2_3_1,L3dummy_2_3_2,L3dummy_2_3_3,L3dummy_2_3_4,L3dummy_2_3_5,L3dummy_2_3_6,L3dummy_3_2_1,L3dummy_3_2_2,L3dummy_3_2_3,L3dummy_3_3_1,L3dummy_4_1_1,L3dummy_4_1_2,L3dummy_4_1_3,L3dummy_4_1_4,L3dummy_4_1_5,L3dummy_4_2_1,L3dummy_4_2_2,L3dummy_4_2_3,L3dummy_4_2_4,L3dummy_4_2_5,L3dummy_4_2_6,L3dummy_4_3_1,L3dummy_4_3_2,L3dummy_4_3_3,L3dummy_4_3_4,L3dummy_4_3_5,L3dummy_4_4_1,L3dummy_4_4_2,L3dummy_4_4_3,L3dummy_4_4_4,L3dummy_4_5_1,L3dummy_4_5_2,L3dummy_4_6_1,L3dummy_4_6_2,L3dummy_4_6_3,L3dummy_4_7_1,L3dummy_4_7_2,L3dummy_5_1_1,L3dummy_5_1_2,L3dummy_5_1_3,L3dummy_5_1_4,L3dummy_5_2_1,L3dummy_5_2_2,L3dummy_5_2_3,L3dummy_5_2_4,L3dummy_5_2_5,L3dummy_5_3_1,L3dummy_5_3_2,L4dummy_4_1_1_1,L4dummy_4_1_1_2,L4dummy_4_1_1_3,L4dummy_4_3_4_1,L4dummy_4_3_4_2,L4dummy_4_3_4_3,L4dummy_4_5_1_1,L4dummy_4_5_1_2,L4dummy_4_5_2_1,L4dummy_4_5_2_2
0,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,590,"As you said in your opening statement, it is really all about harmonizing our energy, environmental, and economic goals in this country. I have every hope that with your leadership we will get that done.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,35,743,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 1: Random sample,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,592,"My job is to purchase fuel. We purchase almost $800 million a year, or 30 million tons of coal to purchase gas, to build power plants, to build scrubbers and SERs to reduce emissions, to invest in new technologies.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,39,745,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 1: Random sample,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,710,"The key to certainty, Senator, really is having a road map so that you can do the work in a systematic way on each of your power plants. What that requires is knowing what the SO2 regulations will be, what the NOx regulations will be, what the mercury regulations will be. We sit here today with no clarity with respect to what those regulations will be in the future.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,69,852,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 1: Random sample,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,712,"This work on the back end of your plants is in terms of building scrubbers, but at the same time maintaining the reliability of your system. If you phase it in over the right period of time, not only do you maintain the integrity of your balance sheets, you attract the necessary capital to make the investments, but you smooth out the impact on consumers over a period of time rather than having steep increases.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,75,854,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,714,"One of the challenges we have had, is there has been so much litigation, for instance, around NOx. The time lines have been compressed, and that translates into greater costs and a greater need for workers that are qualified. We also need to make the right investments.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,47,856,,Batch 3: Active learning sample (claim 4),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,715,"So from our standpoint, timing matters. The sooner we know the plan, the sooner we go to work. We are able to execute this over a period of time and that translates into lower costs for consumers. That is very important.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,41,857,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,720,"It leaves the industry in a place where you continue to default to gas-fired peakers. That is not the long-term solution for this country, to become so dependent on one fuel.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,31,862,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,724,"Unfortunately, Senator, there is no silver bullet for these issues. We have to invest in technology. At the same time, we have to work to help our customers become more efficient in terms of their use of energy. At the same time, if we do not pay attention to the supply/demand balance on the gas side and if we continue to default to more and more gas-fired generation, that is going to translate to times where we could not run some of our gas-fired units when we needed them because there was no capacity in the pipelines. You need that kind of infrastructure investment that had not occurred. You need to look at the prices this summer and the number of plants that shut down for the short term--but it could be for a longer term.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,136,866,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,725,"One of the great fears of the gas industry is that the volatility of the gas prices and the rising gas prices forces a lot of industries, as you suggested, to basically pack up and leave town and leave the country. That is not a good answer long term for creating jobs.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,52,867,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,108,SENATE,Committee on Environment and Public Works,Environment and Public Works,2003,2003-04-08,The Clear Skies Act of 2003,108shrg91748,witness,Rogers,mr. rogers.,726,"What I worry about is jobs. We are in an economy where the growth is only two to two-and-a-half percent. That is still better than other parts of the world, but not what we expect, and not what we hope for. If prices of gas continue to go up and we do not use the resources that we have in an environmentally responsible manner, we have created a death spiral for ourselves that makes it even more difficult for us to succeed as a country.","Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute",Edison Electric Institute,Electric Utilities,Energy & Natural Resources,Fossil Fuel Industry,Electric Utilities,0.0,Edison Electric Institute,Contrarian,Other contrarian,,,,,,,,,,,,,,,,,,,,,,,,,,85,868,cc8171c7-a3df-4093-95e8-306aebed8453,Batch 3: Active learning sample (claim 4),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
